[2026-01-16 15:52:27] Scan started on path: .
[2026-01-16 15:52:27] CLEAN file scanned | Path: .\test_detection.py
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\93\02fed643acbe7e0e25ff682b7559759ff51932
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\98\24da57f73781a98069c4158f7b30f68d1cfc0d
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\a0\4e736605ee8b17cb371116d04664a7218999d4
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\a4\463ea57361342eaf66a88cb20bcf56c8c88884
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\aa\f705d980b6705863f5b1e9bbde228671f653dd
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\b3\18989e3ae7814cb13a3bd9cf3a995dbeaeea7a
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\bf\76df1b7cdaf13d04e6762b010443ffeceb59f8
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\c2\65a6bcd3bb7619251c362dc13011aa7f18e66d
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\c5\55a01bf4dab11ed68ccf57d2c516c1726ea366
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\c7\d1b9b59f68a3acaf27a2299e30e69272ed5442
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\c8\4ffc67df04a2ccc7dc312fdd5535d5889a6296
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\cb\20cc13b424db05de02952eff677ee8d7beebd5
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\cb\2b458d7bdbb88472a50491abd103e9f8501d50
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\cf\4cc668f9e8242a8db4a4f70c3eec2e02a3955d
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\db\db596ed5e5f96fdc72e7466cdf7b84bb0e8be0
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\e2\2b9db663c97642cdfccb7bd2a1d2bc20ce0988
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\e6\9de29bb2d1d6434b8b29ae775ad8c2e48c5391
